"","ac
        type","cn / ln","date","fatalities","flight #","ground","location","operator","registration","route","summary","time"
"4112","BAC One-Eleven 203AE","041","July 29, 1997","1   (passengers:0  crew:1)","?","0","Calabar , Nigeria","ADC Airlines","5N-BAA","Lagos - Calabar","Overshot the runway in heavy rain and came to rest in brush.","?"
"4113","Aerospatiale ATR-42-512","492","July 30, 1997","1   (passengers:0  crew:1)","701","0","Florence, Italy","Air Littoral","F-GPYE","Nice - Florence","The aircraft touched down at excessive speed, far down the runway threshold, bounced twice and overran the runway.","1030"
"4114","Boeing B-747-300","22487/605","August 06, 1997","228   (passengers:206  crew:22)","801","0","Agana, Guam","Korean Airlines","HL-7468","Seoul - Guam","The aircraft crashed into Nimitz Hill, 3 miles short of Runway 06R, while making a non-precision approach in heavy rain to A.B. Won Guam International Airport. The runway glide slope system was inoperative. In addition, the Minimum Safe Altitude Warning system (MSAW) was also not working due to a software problem. The captain’s failure to adequately brief and execute the non-precision approach and the first officer's and flight engineer's failure to effectively monitor and cross-check the captain’s execution of the approach. Contributing to these failures were the captain's fatigue and Korean Air's  inadequate flight crew training. Contributing to the accident was the Federal Aviation Administration's (FAA) intentional inhibition of the MSAW at Guam and the agency's failure to adequately manage the system.","0142"
"4115","McDonnell Douglas DC-8-61F","45942/349","August 07, 1997","4   (passengers:1  crew:3)","101A","1","Miami, Florida","Fine Air","N27UA","Miami - Santo Domingo","Immediately after taking off the plane went into a nose-high attitude, stalled and crashed to the ground. The probable cause of the accident, which resulted from the airplane being misloaded to produce a more aft center of gravity and a correspondingly incorrect stabilizer trim setting that precipitated an extreme pitch-up at rotation, was (1) the failure of Fine Air to exercise operational control over the cargo loading process and  (2) the failure of Aeromar to load the airplane as specified by Fine Air. Contributing to the accident was the failure of the FAA to adequately monitor Fine Airs operational control responsibilities for cargo loading and the failure of the FAA to ensure that known cargo-related deficiencies were corrected at Fine Air.","1236"
"4116","Dornier DO-228-212","8220","August 10, 1997","16   (passengers:14  crew:2)","7601","0","Matsu Island, Taiwan","Formosa Airlines","B-12256","Taipei - Matsu","The aircraft flew into a mountain and exploded in flames after a missed approach and while executing a go-around in rain and high winds. The pilot turned right instead of left when initiating the go-around.","0815"
"4117","Pilatus PC-6 Turbo Porter / Cessna 206","820","August 29, 1997","12   (passengers:10  crew:2)","?","0","Puerto Inirida, Venezuela","SATENA","FAC1115","San Felipe - Puerto Inirida","Collided with a Cessna 206 (OB-1450) and crashed 3 miles from the airfield. Six killed on the Pilatus and 6 on the Cessna","?"
"4118","Tupolev TU-134","66360","September 03, 1997","65   (passengers:59  crew:6)","815","0","Phnom Penh, Cambodia","Vietnam Airlines","VN-A120","Ho Chi Minh City - Phnom Penh","The plane was on a flight from Ho Chi Minh City to Phnom Penh when it crashed while making an approach to Pochentong International Airport in heavy rain. The plane clipped palm trees and exploded in flames after crashing into a rice paddy, one-half mile from the runway. The only survivor was a one-year-old boy. Pilot error. The captain failed to heed the warnings of the flight engineer and first officer that the plane was flying too low and failed to abort the landing.","1400"
"4119","Dornier 228-212","8217","September 06, 1997","10   (passengers:8  crew:2)","238","0","Near Miri, Malaysia","Borneo Airways","9M-MIA","Bandar Seri Begawan - Miri","Struck tree tops and crashed into Lambir Hill while on approach to land at Miri.","1944"
"4120","de Havilland Canada DHC-6 Twin Otter 300","735","September 12, 1997","22   (passengers:21  crew:1)","?","0","Near Uvira, Zaire","TMK Air Commuter","9Q-CBO","Buknavu - Uvira","The aircraft was destroyed when it flew into a hillside during an approach to Uvira.","?"
"4121","Tupolev TU-154M / C-141 Starlifter","89A-813","September 13, 1997","33   (passengers:23  crew:10)","74","0","Off Namibia, Africa","Military - Luftwaffe / Military - USAF","1102/65-9405","Niamey - Windhoek","Midair collision at 39,000 ft. The Tupolev 154 aircraft was flying at the wrong cruise altitude which caused the midair collision. Twenty-four killed aboard the Tupolev and 9 aboard the C-141. Contributing factors included weak flight-following procedures of the Luanda ATC and  poor regional ground communications.","1710"
"4122","Airbus A300-B4-200","214","September 26, 1997","234   (passengers:222  crew:12)","152","0","Buah Nabar, Indonesia","Garuda Indonesia Airlines","PK-GAI","Jakarta - Medan","The aircraft crashed into mountainous terrain 15 minutes before it was due to land at Medan on a flight from Jakarta. The aircraft crashed 20 miles from the airport. Combination of ATC errors in directing the plane in the wrong direction into mountainous terrain and the crew setting and using their instruments incorrectly. Contributing to the accident was impared visibility due to smoke from forest fires in the area.","1334"
"4123","Cessna 208B Caravan I","208B-0432","October 08, 1997","9   (passengers:8  crew:1)","-","0","Near Montrose, Colorado","Scenic Airlines","N12022","Montrose, CO - Page, AZ","Collided with terrain at the 9,900 foot level on the Uncompahgre Plateau. The pilot's failure to maintain sufficient airspeed for undetermined reasons while maneuvering the airplane near maximum gross weight and aft center of gravity in or near instrument meteorological conditions, which resulted in a loss of control and entry into a stall/spin.","0723"
"4124","McDonnell Douglas DC-9-32","47446/561","October 10, 1997","74   (passengers:69  crew:5)","2553","0","Nuevo Berlin, Uruguay","Austral Lineas Aeras (Argentina)","LV-WEG","Posadas - Buenos Aires","The aircraft crashed  near Nuevo Berlin, a town on the banks of the Uruguay River, after changing its route to avoid heavy rain and hail. A crater 25 feet deep crater was created where the plane crashed into the earth.  Icing of the pitot tubes. The pitot tubes froze after the aircraft passed through 49,000 ft. giving false speed readings leading to loss of control of the aircraft.","2223"
"4125","Lockheed C-130H Hercules","5067","October 10, 1997","5   (passengers:0  crew:5)","?","0","Taipei, Taiwan","Military - Republic of China Air Force","1310","?","Crashed in poor weather after a go-around.","?"
"4126","Rutan Long EZ (experimental aircraft)","54","October 12, 1997","1   (passengers:0  crew:1)","-","0","Monterey Bay, near Pacific Grove, California","Private","N555JD","?","The aircraft had just finished performing 3 touch-and-go landings at Monterey Peninsula Airport. Shortly after taking off a fourth time, witnesses heard the engine make popping noises, bank to the right, pitch up, and go into a steep dive from about a  500 foot altitude and crash into the sea about 150 yards offshore. Singer John Denver, 53, who was piloting the plane, was killed. Denver, an experienced pilot with over 2,800 flying hours, had only a little over an hour in the experimental plane. The accident was caused by the inadvertent application of right rudder by the pilot as he attempted to manipulate the fuel selector handle. The unmarked fuel selector handle in this aircraft was located in a hard to reach area behind the pilot's left shoulder, instead of between his legs. This required removing his harness and reaching behind. While turning around, he inadvertently pressed down on the plane's right rudder pedal causing the aircraft to roll and go into a dive.  Contributing factors were, Denver took off with too little fuel in one tank which led to the necessity of switching to his backup tank. Also it was difficult to determine how much fuel was in the tanks due to the unmarked fuel quantity sight gauge.","1728"
"4127","Yakovlev YAK-40","9441037","October 29, 1997","2   (passengers:2  crew:0)","?","0","Jalal-Abad, Afghanistan","Ariana Afghan Airlines","YA-KAE","?","Crashed during a landing attempt.","?"
"4128","Cessna 208B Caravan I","208B-0504","November 08, 1997","8   (passengers:7  crew:1)","500","0","Near Barrow, Alaska","Hageland Aviation Services","N750GC","Barrow - Wainwright","A few minutes after takeoff a distress call was received from the aircraft after which it ditched into the sea 200 yards offshore. The pilot's disregard for lateral fuel loading limits, his improper removal of frost prior to takeoff, and the resulting inadvertent stall/spin. Factors involved in this accident were the improper asymmetrical fuel loading which reduced lateral aircraft control, the self-induced pressure to takeoff on time by the pilot, and inadequate surveillance of the company operations by company management.","0808"
"4129","Antonov AN-124-100","4516003","December 05, 1997","23   (passengers:17  crew:6)","?","44","Irkutsk-2, Russia","Military - Russian Air Force","RA-82005/08","Irkutsk - Vladivostok","The military aircraft, bound for Vladivostok, crashed into a residential neighborhood twenty seconds after taking off. All four engines failed after the computer system began shutting them down shortly after takeoff.  Design flaw which led to uncoordinated operation of the high-pressure compressors.","1446"
"4130","Embraer 110P1 Bandeirante","110285","December 09, 1997","4   (passengers:3  crew:1)","301","0","Little Grand Rapids, Canada","Sowind Air","C-GVRO","Winnipeg - Little Grand Rapids","Crashed during the second approach right of the approach path. While the aircraft was being manoeuvred at a very low level in marginal weather, it descended after an abrupt turn and flew, in controlled flight, into the terrain. Crew procedural error. The aircraft was 1,000 pounds heavier than the maximum allowable weight.  The GPS installed in aircraft was not approved as a primary navigational aid.","1526"
"4131","Swearingen SA-226T Metro II","TC-359","December 13, 1997","10   (passengers:9  crew:1)","?","0","La Veriente, Bolivia","STAP","CP-1635","Villamontes - Santa Cruz","During take off, shortly after the landing gear was retracted, one of the aircraft's engines lost power and the propeller autofeathered. The aircraft rolled to the right, struck trees and crashed inverted.","1705"
"4132","Tupolev TU-154","78A-281","December 15, 1997","85   (passengers:77  crew:8)","3183","0","Sharjah, United Arab Emirates","Tajikistan Airlines","EY-85281","Dushanbe - Sharjah","The aircraft crashed and burned while making an attempt to land. A number of errors by the crew resulted in the acccident. Not maintaining the height indicated during the last contact with the ATC. Not following instructions from the ATC. Crew fatigue and turbulence in the area contributed to the accident.","1835"
"4133","Yakovlev YAK-42","4520422606","December 17, 1997","70   (passengers:62  crew:8)","241","0","Fotina, Greece","Aerosweet Airlines (LVOV)","UR-42334","Odessa - Thessaloniki","The aircraft crashed into Mt. Olympus while approaching Salonica, during a second attempt to land. The plane was holding at 3,300 feet due to heavy traffic. Tower tapes indicate that after the missed approach, the crew reported they were heading north when they actually were heading west. An investigation revealed the crew had poor training, flew too low, didn't know how to use the radar equipment and failed to declare an emergency after they missed the landing strip. A second crash occurred when a C-130 transport plane on its way to pick up troops to assist in the search, crashed into Pastra Mountain.","1913"
"4134","Boeing B-737-300","28556/2851","December 19, 1997","104   (passengers:97  crew:7)","185","0","Near Palembang, Indonesia","SilkAir","9V-TRF","Jakarta - Hatta - Singapore","The plane disappeared off radar screens and shortly after, crashed into the Musi River. The plane, almost brand-new, cruising in good weather and with an experienced crew, suddenly left normal flight from 35,000 feet and crashed at a high rate of speed into the Sumatran jungle. The right wing and parts of the rudder separated from the aircraft before it crashed. The Indonesian National Transportation Committee found that there was insufficient evidence to find a cause for the accident. The U.S. National Transportation Safety Board strongly disagreed and stated the jet's cockpit voice recorder was intentionally disconnected and its flight controls placed in a nose-down position most likely by the captain. While the U.S. NTSB stopped short of using the term suicide, its dissenting report made it clear it believed the crash was the result of actions by the captain. In July 2004 a California jury found the manufacturer of the PCU valve that controls rudder responsible for the accident after the valve was located and showed defects which may have led to a rudder hardover.","1613"
"4135","Lockheed C-130H Hercules","4729","December 20, 1997","5   (passengers:0  crew:5)","?","0","Tanagra, Greece","Military - Greek Air Force","750","Search mission","Crashed in the Pastra mountains while searching for the wreckage of an Aerosweet Yak-42 that was missing.","?"
"4136","Antonov An-72","36572094888","December 27, 1997","5   (passengers:0  crew:5)","?","0","Atlantic Ocean, off Angola","Renan Airways","ER-ACF","Abidjan - Rundu, Nambia","Went missing while en route. May have been shot down.","?"
"4137","Boeing B-747-122","19882/175","December 28, 1997","1   (passengers:1  crew:0)","826","0","Over the Pacific Ocean","United Air Lines","N4723U","Tokyo - Honolulu","Two hours into the flight, at FL 310, the plane received reports of severe clear air turbulence in the area and the seat belt sign was turned on. Moments later, the aircraft suddenly dropped around one hundred feet seriously injuring many passengers and causing damage to the aircraft. The plane landed safely back at Tokyo, but  one passenger died of her injuries.","2310"
"4138","Britten Norman BN-2A Trislander","178","December 31, 1997","10   (passengers:9  crew:1)","?","0","Rio Sidra, Panama","Parsa","HP-986PS","Panama City - Rio Sidra","Crashed into dense jungle, 4 miles short of its destination in heavy fog.","0745"
"4139","Let 410UVP","871919","January 13, 1998","2   (passengers:0  crew:2)","?","0","Brno, Czech Republic","Aeroservice International","YV-928CP","Gomel - Kunovice","Fog and low visibility forced the plane to divert to divert to Brno. After a missed approach the aircraft crashed 3.5 km short of the runway threshold and was destroyed.","1830"
"4140","Antonov AN-12BP","5342801","January 13, 1998","51   (passengers:45  crew:6)","?","0","Tor Kach, Pakistan","Military - Ariana Afghan Airlines","YA-DAB","Kandahar - Herart","The aircraft  was on a flight from Kandahar to Herat but was forced to return to Kandahar because of poor weather when it crashed into a mountain 70 miles north of Quetta in Khojak Pass. The last message from the pilot was ""we are running low on fuel."" Crashed due to fuel starvation.","2230"
"4141","Fokker F-27 Friendship 600","10576","January 27, 1998","16   (passengers:15  crew:1)","403","0","Yangon (Rangoon), Myanmar","Myanmar Airways","XY-AES","Thandwe - Sittwe","The aircraft crashed on takeoff after the No. 2 engine failed and caused the aircraft to swerve off the runway and crash into an embankment and burst into flames.","1145"
"4142","McDonnell Douglas DC-9-32","47069/175","February 02, 1998","104   (passengers:99  crew:5)","387","0","Cagyan de Oro, Philippines","Cebu Pacific Air","RP-C1507","Tacloban - Cagayan de Oro","Flight 387 originated in Manila on a flight to Tacloban and Cagayan de Oro. The aircraft crashed while on approach to Cagay de Oro into a remote mountainous area.  Wreckage was found near the town of Pagalungan, NE of Cagay de Oro. The last radio message from the pilot was ""leveling off at 5,000 feet sir.""  The cockpit voice recorder revealed that the GPWS warned of terrain a dozen times just before impact. The crew apparently got lost in a cloud, never realizing they were headed into a mountain. Pilot error, inadequate training standards and deficient equipment.","1100"
"4143","Grummand EA-6B","P-130","February 03, 1998","0   (passengers:0  crew:0)","-","20","Near Cavalese, Trento, Italy","Military - U.S. Marine Corps","163045/CY-02","?","The aircraft struck and severed the cable to a gondola causing it to fall 300 ft. to the ground and killing 20 on board. The plane landed safely. Negligence by the crew in flying above the speed limit and well below the prescribed minimum altitude in the area.","15:15"
"4144","Antonov 12BP","3341605","February 04, 1998","7   (passengers:0  crew:7)","?","0","Terceira, Portugal","Air Luxor","LZ-SFG","Terceira - Lisbon","Shortly after taking off the plane lost power in the No. 3 engine followed by the No. 4 engine. The plane rolled to the right, stalled, entered an spin and crashed.","2217"
"4145","CASA 212-S1 Aviocar 100","297","February 05, 1998","5   (passengers:0  crew:5)","?","0","Near Navafria, Spain","Military - Spanish Air Force","D-3B-9","?","Crashed in the Los Hoyos mountains while on a military training flight.","1210"
"4146","Antonov AN-32","AN32052","February 12, 1998","27   (passengers:24  crew:3)","?","0","Near Nasir, Sudan","Military - Sudan Air Force","?","?","Overshot the runway in heavy fog and crashed into the Sobat River.","0830"
"4147","Airbus A300-622R","578","February 16, 1998","196   (passengers:182  crew:14)","676","7","Taipei, Taiwan","China Airlines (Taiwan)","B-1814","Denpasar - Taipei","The aircraft was attempting to land at Taipei's international airport in rain and fog when the crew requested a go-around. The plane crashed into a residential neighborhood, ripping the roofs off several structures, skidding into a rice paddy and bursting in flames. DFDR data showed complete autopilot disengagement just after landing clearance. This was  followed by an attempted manually flown go-around with falling airspeed and a pitch-up of 40 degrees followed by a gain of 1,000 feet in altitude, total stall and a dive resulting in impact with the ground. Pilot error.","2009"
"4148","Boeing 707-336C","19843/735","March 10, 1998","6   (passengers:0  crew:6)","?","0","Mombasa, Kenya","Air Memphis","SU-PBA","Mombasa, Kenya - Cairo, Egypt","The cargo plane struck the approach lights as it took off from Runway 3, then struck a hill and disintegrated.","1635"
"4149","Saab340B","340B-377","March 18, 1998","13   (passengers:8  crew:5)","7623","0","Off Hsinchu, Taiwan","Formosa Airlines","B-12255","Hsinchu - Kao Hsiung","The aircraft crashed in the sea, 11 km off Hsinchu, shortly after taking off from Hsinchu. Instrument failure and loss of power in the aircraft's right engine in turbulence.","1931"
"4150","Boeing B-727-228","22288/1712","March 19, 1998","45   (passengers:32  crew:13)","?","0","Near Charasyab, Afghanistan","Ariana Afghan Airlines","YA-FAZ","Dubai - Kandahar - Kabul","The plane was descending for a landing at Kabul on visual when it struck 3,000 ft. Sharhi Baranta Mountain, 300 feet below the summit in dense fog and rain.","1400"
"4151","Airbus A.320-214","708","March 22, 1998","0   (passengers:0  crew:0)","137","3","Bacolod, Philippines","Philippine Air Lines","RP-C3222","Manila - Bacolod","The aircraft overran the 6,888 ft. runway, went through a concrete perimeter fence, crossed a small river and hit a karaoke house before stopping near a market. The plane was (legally) released from Manila with the No. 1 reverser deactivated. The plane landed mid-runway and the crew incorrectly used the No. 2 reverser to try and stop the plane causing it to veer to the right. The No. 2 engine was then to set to forward thrust steering the plane back on the runway.  A go-around was attempted but it was too late and the aircraft overran the runway.","1942"
"4152","Antonov AN-32","1203","March 28, 1998","22   (passengers:22  crew:0)","388","1","Piura, Peru","Fuerza Aérea del Peru","OB-1388","Tumbes - Piura","A Peruvian air force plane carrying villagers stranded by flooding crashed while attempting to land at Piura Airport. The pilot tried to glide the plane after losing an engine but crashed near a shantytown 2 kilometers from the airport. The plane began losing altitude after an engine failed and crashed into a drainage canal and broke in two. Engine failure.","0935"
"4153","Convair CV-240-53","53-13","March 31, 1998","2   (passengers:0  crew:2)","?","0","Near Mexico City, Mexico","Linea Aérea Mexicana de Carga","XA-TAP","?","Shortly after taking off the cargo plane experienced a fire in the No. 2 engine. The plane crashed while attempting to make an emergency landing on a road.","?"
"4154","Boeing B-727-230","21622/1431","April 20, 1998","53   (passengers:43  crew:10)","422","0","Near Bogota, Colombia","Air France","HC-BSU","Bogota - Quito","The aircraft, leased from TAME, crashed atop fog covered Cerro el Cable mountain and exploded into flames, three minutes after taking off from Bogota's El Dorado airport. The aircraft was leased to Air France by TAME airlines. The crew did not turn in the proper direction after reaching the Romeo non-directional beacon even though the flight crew acknowledged an air traffic controller's warning that they were off course.","1647"
"4155","Boeing B-737-282","23041/962","May 05, 1998","75   (passengers:69  crew:6)","?","0","Andoas, Peru","Fuerza Aérea del Peru","FAP-351","Iquitos - Andoas","The aircraft was chartered by the Los Angeles-based Occidental Petroleum Corporation. The plane crashed in light rain, while on final approach, in a swampy area, three miles short of Andoas. There were reports of a lightning flash preceding the accident.","2130"
"4156","Xian Yunshuji Y-7-100C","007H03","May 12, 1998","39   (passengers:32  crew:7)","?","0","Near Nema, Mauritania","Military - Mauritanian Air Force","5T-MAG","Nema - Nouakchott","Crashed shortly after taking off in a sandstorm.","1930"
"4157","Yakovlev YAK-40","9431835","May 25, 1998","26   (passengers:20  crew:6)","?","0","Near Longtiang, Laos","Military - Lao People's Liberation Army Air Force","34001","Vientiane - Xiang Khoang","The aircraft struck a jungle covered mountain at 1,800m, after making a premature descent to land during a heavy rainstorm.","1020"
"4158","Bell 206L-3","?","May 25, 1998","5   (passengers:4  crew:1)","?","0","Indian Trail, North Carolina","Air Taxi - US Helicopters Inc.","N96CW","Charlotte, NC - Monroe, NC","The helicopter's skids contacted a high-tension static ground wire about 150 feet above the ground. The pilot's failure to maintain altitude while operating in adverse weather. A contributing factor was the incoming fog and high tension static wire.","0032"
"4159","Harbin Yunshuji Y-12 II","?","May 26, 1998","28   (passengers:26  crew:2)","?","0","Near Erdenet, Mongolia","MIAT - Mongolian Airlines","JU-1017","Erdenet - Moron","The aircraft crashed into the side of a mountain at 2,800m,  13 minutes after taking off from Erdenet. The plane, designed to carry a maximum of 19 passengers, was carring 26. Overloaded.","0930"
"4160","Swearingen SA-226TC Metroliner II","TC-233","June 18, 1998","11   (passengers:9  crew:2)","420","0","Montreal, Canada","Propair","C-GQAL","Montreal - Peterborough","Flight 420 took off from Montreal's Dorval Airport on a flight to Peterborough  About 12 minutes after take off, at an altitude of 12,500 feet, the crew advised ATC that they had a hydraulic problem and requested clearance to return to Dorval. The crew then advised ATC that the left engine had been shut down because it was on fire. The crew decided to proceed to Mirabel International Airport. Then crew then advised ATC that the engine fire was out. On final for Runway 24, the crew advised ATC that the left engine was again on fire. The landing gear was extended on short final, and when the aircraft was over the runway, the left wing broke upwards. The fuselage inverted, struck the runway and slid 2,500 feet and came to rest on the left side of the runway.  PC: The crew did not realize that the pull to the left and the extended take-off run were due to the left brakes' dragging, which led to overheating of the brake components. The dragging caused overheating and leakage, probably at one of the piston seals that retain the brake hydraulic fluid. When hydraulic fluid leaked onto the hot brake components, the fluid caught fire and initiated an intense fire in the left nacelle, leading to failure of the main hydraulic system. When the L WING OVHT light went out, the overheating problem appeared corrected; however, the fire continued to burn. The crew never realized that all of the problems were associated with a fire in the wheel well, and they did not realize how serious the situation was. The left wing was weakened by the wing/engine fire and failed, rendering the aircraft uncontrollable.","0728"
"4161","Eurocopter AS-350-BA","2735","June 25, 1998","6   (passengers:4  crew:2)","?","0","Mt. Waialeale, Hawaii","Air Taxi - Ohana Helicopter Tours","N594BK","Sightseeing","The helicopter impacted a mountain on a sightseeing trip. The pilot's decision to continue VFR flight into deteriorating weather conditions consisting of lowering ceilings and visibility in mountainous terrain, which resulted in the inadvertent entry into instrument meteorological conditions and a collision with a mountainside. A factor in the accident was the failure of the chief pilot, who had directly observed the deteriorating weather conditions, to direct the following pilots to avoid the area.","0932"
"4162","Ilyushin 76MD","0063470096","July 13, 1998","8   (passengers:0  crew:8)","?","0","Off Rasal, United Arab Emirates","ATI Aircompany","UR-76424","Rasal - Nikolaev, Ukraine","The cargo plane lifted off from the runway, slowly sank and impacted the sea. The plane was grossly overloaded.","2315"
"4163","Rockwell Sabreliner 60","306-3","July 16, 1998","3   (passengers:1  crew:2)","?","0","Córdoba, Argentina","Alas del Sur","LV-WPO","Tucumán - Córdoba","The cargo plane crashed short of the runway.","2141"
"4164","Ilyushin II-76","0083481440","July 17, 1998","10   (passengers:1  crew:9)","?","0","Asmara, Eritrea","Ukraine Aviation Transport Company","UR-UCI","Bourgas, Bulgaria - Asmara, Eritrea","While on an ILS approach, the cargo plane struck a hill.","0415"
"4165","Shorts SC-7 Skyvan 3-100","SH1946","July 23, 1998","4   (passengers:0  crew:4)","?","0","Pico de Orizaba, Mexico","Military - Mexican Air Force","XC-UTQ","Mexico City - Tuxtla Gutiérrez","The aircraft crashed into a volcano.","?"
"4166","Consolidated PBY-5A Catalina","1997","July 27, 1998","4   (passengers:2  crew:2)","?","0","Southhampton, England","Plane Sailing","VP-BPS","VP-BPS","The plane was flying lower than 500 ft. prior to attempting to land. After a missed attempt the plane landed on the water and soon after water entered the cockpit and the plane broke up. Possible collision with debris which caused the doors to collapse inward.","?"
"4167","Swearingen SA.227AC Metro III","AC-651B","July 28, 1998","2   (passengers:0  crew:2)","704","0","Barcelona, Spain","Swifair","EC-FXD","Palma de Mallorca - Barcelona","During a training flight, the crew of the cargo plane stopped one engine, stalled and crashed. The loss of control of the aircraft due to an excessive reduction of speed at low height, after having extended the landing gear, with an intermediate flap position, and with the right engine stopped and its propeller pitch close to feather.","?"
"4168","Embraer 110 Bandeirante","110343","July 29, 1998","5   (passengers:4  crew:1)","?","0","Manacapuru River, Brazil","Selva Taxi Aero","PT-LGN","Tefe - Manaus","The aircraft ditched in the Manacapuru River while en route from Tefe to Manaus. The pilot had reported an engine problem about 20 minutes earlier.","1600"
"4169","Beechcraft 1900D / Cessna 177","UE-238","July 30, 1998","15   (passengers:12  crew:3)","706","0","Near Quiberon, France","Proteus Air / Private","F-GSJM/F-GAJE","Lyon - Lorient","Midair collision. The Beechcraft was on a flight from Lyon to Lorient, approaching Lorient, when it requested permission to fly over the ocean liner Norway. While circling the Norway, it collided with the Cessna. One killed aboard the Cessna, 14 aboard the Beechcraft.  The pilots of the Beechcraft decided to deviate from their course in order to give passengers a view of the ocean liner Le France. This is unusual but not forbidden. They also descended to 2,000 feet, below the level of radar detection. Both planes approached each other within blind spots. Failure of both pilots to ""see and avoid"" each other under VFR conditions.","1558"
"4170","Dornier 228-201","8075/2017","July 30, 1998","6   (passengers:3  crew:3)","503","2","Kochi, India","Alliance Airlines","VT-EJW","Agathi - Kochi - Thiruvananthapuram","Shortly after taking off the plane pitched up, stalled and crashed to the ground. The  pitch-up was caused by an uncommanded downward movement of the horizontal stabilizer. This was due to a partial detachment of the actuator forward bearing support fitting due to the non-installation of required hi-lok fasteners.","1105"
"4171","de Havilland Dash-2 Beaver","0039","August 04, 1998","5   (passengers:4  crew:1)","709","0","Kincolith, British Columbia, Canada","Harbour Air Seaplanes Ltd.","C-FOCJ","Prince Rupert - Kincolith","The pilot made three low passes over the water in an attempt to land at Kincolith. On the fourth approach, the aircraft touched down, apparently in a controlled manner, and skipped on the water surface. The floats then dug into the water followed by the right wing, which was severed from the fuselage on water impact. The aircraft quickly overturned and came to rest inverted with only the bottom of the floats visible. All five occupants drowned. On touchdown, the floats struck the water and caused a flying attitude that the pilot could not control before the right wing dug in and the aircraft overturned. Contributing to the accident were conflicting wind and water conditions at the time of the occurrence.","1758"
"4172","Antonov An-12BP","8345601","August 11, 1998","1   (passengers:0  crew:1)","?","0","Saurimo, Angola","Alada","D2-FAZ","?","Blew a tire while landing causing the plane to to run off the runway and crash.","?"
"4173","Cessna 402C","402C0512","August 19, 1998","5   (passengers:4  crew:1)","?","0","Foveaux Strait, New Zealand","Vincent Aviation","ZK-VAC","Stewart Island - Invercargill","While en route, the aircraft experienced double engine failure. The plane ditched into Foveaux Strait. Five passengers were rescued, but four passengers and the pilot did not have lifejackets and did not survive. The double engine failure was possibly related to fuel management.","1640"
"4174","de Havilland Canada DHC-6 Twin Otter 300","710","August 21, 1998","18   (passengers:15  crew:3)","?","0","Near Ghorepani, Nepal","Lumbini Airways","9N-ACC","Jomsom - Pokhara","The aircraft crashed in a remote mountainous area at an elevation of 12,000 feet while on a flight from Jomsom to Potokari. Radio contact was lost 5 minutes after takeoff from Jomson.","1130"
"4175","DC-3-65TP","13143","August 24, 1998","1   (passengers:0  crew:1)","?","0","Pretoria, South Africa","Speed Service Couriers","ZS-NKK","Pretoria - Durban","The cargo plane took off in a steep angle, rolled to the left and crashed and burned. The taking off with the elevator trim set to the full nose-up position. This resulted in the nose of the aircraft pitching up after rotation, causing the pilot to lose control of the aircraft.","1646"
"4176","Fokker F-27 Friendship 600","10476","August 24, 1998","44   (passengers:40  crew:4)","635","0","Manibagi, Myanmar","Myanmar Airways","XY-AEN","Rangoon - Tachilek","The aircraft was on a flight from Rangoon to Tachilek when it was diverted to Heho due to poor weather conditions. After the aircraft was reported missing, wreckage was found on Payakha Mountain, near Manibagi. It was five days before officials announced that the plane had crashed as an effort was made to hide the accident. There are reports that some survived the crash, only to be tortured and  murdered by nearby villagers who thought it was a military plane.","0835"
"4177","Tupolev TU-154M","720","August 29, 1998","70   (passengers:56  crew:14)","389","10","Quito, Ecuador","Cubana de Aviacion","CU-T1264","Quito - Guayaquil - Havana","The aircraft crashed and burned during takeoff from Quito. The crew tried and failed twice to take off. On the third attempt, the plane struggled to gain altitude, rising a few feet, but settled back to earth plowing past the end of the runway and crashing into an auto body shop and coming to rest in a soccer field. The accident was caused by the late decision of the crew to abort the takeoff.","1303"
"4178","McDonnell Douglas MD-11","48448/465","September 02, 1998","229   (passengers:215  crew:14)","111","0","Off Peggy's Cove, Nova Scotia, Canada","Swissair","HB-IWF","New York City - Geneva","The aircraft was on a flight from JFK Airport, New York to Geneva, Switzerland when the crew reported smoke in the cockpit and requested an emergency landing at Halifax. The plane began dumping fuel and preparing for an emergency landing when it disappeared from radar and crashed into the Atlantic Ocean southwest of Halifax. A fire in the entertainment system wiring started in a hidden area above the cockpit ceiling when arcing ignited the cover material made of thermal insulation blankets. This set off an in-flight fire that spread and increased in intensity until it led to the loss of the aircraft.. It was determined that  aircraft certification standards for material flammability at the time of the accident were inadequate. Dr. Jonathan Mann, researcher in the fight against AIDS and Joseph LaMotta, son of boxing champion Jake LaMotta, killed in the crash.","2130"
"4179","Antonov AN-26","10408","September 02, 1998","24   (passengers:20  crew:4)","?","0","Angola","Permaviatrans","RA-26028","?","Shot down by UNITA rebels 30 minutes after taking off.","?"
"4180","de Havilland Dash-2 float plane","595","September 09, 1998","5   (passengers:4  crew:1)","?","0","Port Alsworth, Alaska","Rusts Flying Service Inc.","N1433Z","Anchorage, AK - Hoholitna River, AK","The plane crashed while attempting to cross a mountain pass, following two other company airplanes in conditions described as five to seven miles visibility, 700 feet ceilings, clouds hanging on the mountainsides, and misty rain. The pilot's failure to maintain adequate airspeed which resulted in an inadvertent stall. Unfamiliarity with the geographic area, the low clouds, his becoming disoriented, and the blind canyon into which he flew. The audible stall warning circuit breaker was found in the pulled (disabled) position.","1045"
